species,attractiveness,n_sex_rows
Abeillia abeillei,6.6579,1
Abroscopus albogularis,6.6335,1
Abroscopus schisticeps,7.0201,1
Abroscopus superciliaris,6.0374,1
Aburria aburri,5.5705,1
Acanthagenys rufogularis,5.3340,1
Acanthidops bairdi,5.4055,1
Acanthisitta chloris,6.9331,1
Acanthiza apicalis,5.2592,1
Acanthiza chrysorrhoa,5.3852,1
Acanthiza cinerea,4.3673,1
Acanthiza ewingii,5.6632,1
Acanthiza inornata,5.4047,1
Acanthiza iredalei,5.1384,1
Acanthiza katherina,4.7683,1
Acanthiza lineata,5.7690,1
Acanthiza murina,4.7966,1
Acanthiza nana,6.0980,1
Acanthiza pusilla,5.7709,1
Acanthiza reguloides,5.7290,1
Acanthiza robustirostris,5.9287,1
Acanthiza uropygialis,5.2370,1
Acanthoptila nipalensis,5.2489,1
Acanthorhynchus superciliosus,5.4197,1
Acanthorhynchus tenuirostris,6.3654,1
Acanthornis magna,5.2658,1
Accipiter albogularis,5.8906,1
Accipiter badius,6.4480,1
Accipiter bicolor,6.0897,1
Accipiter brevipes,6.3650,1
Accipiter butleri,5.9905,1
Accipiter castanilius,6.6700,1
Accipiter cirrocephalus,6.0276,2
Accipiter collaris,6.5120,1
Accipiter cooperii,6.3893,1
Accipiter erythrauchen,5.9076,1
Accipiter erythropus,5.0801,1
Accipiter fasciatus,6.5181,1
Accipiter francesiae,6.6870,2
Accipiter gentilis,6.8421,1
Accipiter griseiceps,6.3779,1
Accipiter gundlachi,5.6531,1
Accipiter haplochrous,6.7938,1
Accipiter henicogrammus,5.9870,1
Accipiter henstii,5.9715,1
Accipiter imitator,6.0464,1
Accipiter madagascariensis,6.3089,1
Accipiter melanochlamys,5.5549,1
Accipiter melanoleucus,6.5970,1
Accipiter meyerianus,5.4780,1
Accipiter minullus,6.8779,1
Accipiter nanus,5.9807,1
Accipiter nisus,6.4788,2
Accipiter novaehollandiae,5.9071,1
Accipiter ovampensis,6.1312,1
Accipiter poliocephalus,6.3388,1
Accipiter poliogaster,5.9415,1
Accipiter rhodogaster,5.7937,1
Accipiter rufitorques,6.8900,1
Accipiter rufiventris,6.0094,1
Accipiter soloensis,6.3715,2
Accipiter striatus,6.5904,1
Accipiter superciliosus,6.6835,1
Accipiter trinotatus,6.7346,1
Accipiter trivirgatus,6.1247,1
Aceros nipalensis,6.5152,2
Achaetops pycnopygius,5.4618,1
Acridotheres albocinctus,5.5608,1
Acridotheres cinereus,5.2616,1
Acridotheres cristatellus,5.8264,1
Acridotheres fuscus,5.1548,1
Acridotheres ginginianus,6.0886,1
Acridotheres grandis,5.8911,1
Acridotheres javanicus,6.0293,1
Acridotheres tristis,5.9384,1
Acritillas indica,5.7818,1
