species,family,order,mass_g,range_km2,centroid_lat,migration
Accipiter albogularis,Accipitridae,Accipitriformes,248.75,37461.21,-8.15,2
Accipiter badius,Accipitridae,Accipitriformes,131.15,22374973,8.23,3
Accipiter bicolor,Accipitridae,Accipitriformes,287.54,14309701.27,-10.1,2
Accipiter brachyurus,Accipitridae,Accipitriformes,142,35580.71,-5.45,2
Accipiter brevipes,Accipitridae,Accipitriformes,186.48,2936751.8,45.24,3
Accipiter butleri,Accipitridae,Accipitriformes,122,327.84,8.42,1
Accipiter castanilius,Accipitridae,Accipitriformes,157.51,2096401.63,0.71,2
Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.73,5488639.45,-23.36,2
Accipiter collaris,Accipitridae,Accipitriformes,97.8,253265.36,2.47,2
Accipiter cooperii,Accipitridae,Accipitriformes,429.67,8393137.06,41.25,3
Accipiter erythrauchen,Accipitridae,Accipitriformes,156,48150.32,-1.32,1
Accipiter erythropus,Accipitridae,Accipitriformes,111.2,3904812.09,3.48,1
Accipiter fasciatus,Accipitridae,Accipitriformes,358.66,8180196.71,-24.45,1
Accipiter francesiae,Accipitridae,Accipitriformes,136.82,519468.81,-19.49,1
Accipiter gentilis,Accipitridae,Accipitriformes,866.04,31775270.74,54.91,2
Accipiter griseiceps,Accipitridae,Accipitriformes,251.76,140604.94,-1.96,1
Accipiter gularis,Accipitridae,Accipitriformes,120.66,4785704.92,49.07,3
Accipiter gundlachi,Accipitridae,Accipitriformes,675,33511.43,21.62,1
Accipiter haplochrous,Accipitridae,Accipitriformes,198.41,16389.59,-21.33,1
Accipiter henicogrammus,Accipitridae,Accipitriformes,358.7,22781.85,0.88,1
Accipiter henstii,Accipitridae,Accipitriformes,1050,434639.7,-18.72,1
Accipiter hiogaster,Accipitridae,Accipitriformes,326.06,794517.61,-5.26,1
Accipiter imitator,Accipitridae,Accipitriformes,222.49,10050.21,-6.76,1
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,214,28814.74,-5.5,1
Accipiter madagascariensis,Accipitridae,Accipitriformes,180.41,476517.51,-19.43,1
Accipiter melanochlamys,Accipitridae,Accipitriformes,265,115449.94,-5.31,1
Accipiter melanoleucus,Accipitridae,Accipitriformes,698.99,9067092.6,-5.51,1
Accipiter meyerianus,Accipitridae,Accipitriformes,763.54,269144.41,-4.7,1
Accipiter minullus,Accipitridae,Accipitriformes,87.43,6794381.58,-9.71,1
Accipiter nanus,Accipitridae,Accipitriformes,117,110477,-1.08,1
Accipiter nisus,Accipitridae,Accipitriformes,220.79,23601609.31,54.67,2
Accipiter novaehollandiae,Accipitridae,Accipitriformes,326.06,1807067.3,-26.72,1
Accipiter ovampensis,Accipitridae,Accipitriformes,195,7295779.86,-8.53,1
Accipiter poliocephalus,Accipitridae,Accipitriformes,214.76,671500.51,-5.32,1
Accipiter poliogaster,Accipitridae,Accipitriformes,315,7203530.62,-7.81,2
Accipiter princeps,Accipitridae,Accipitriformes,214.8,11549.62,-5.35,1
Accipiter rhodogaster,Accipitridae,Accipitriformes,172.71,146036.85,-1.93,1
Accipiter rufitorques,Accipitridae,Accipitriformes,209,17581.12,-17.45,1
Accipiter rufiventris,Accipitridae,Accipitriformes,198,756057.21,-7.01,1
Accipiter soloensis,Accipitridae,Accipitriformes,164.77,2375886.74,31.97,3
Accipiter striatus,Accipitridae,Accipitriformes,130.59,16375303.87,34.35,3
Accipiter superciliosus,Accipitridae,Accipitriformes,96.38,8560355.56,-6.22,1
Accipiter sylvestris,Accipitridae,Accipitriformes,326.06,34582.63,-8.57,1
Accipiter tachiro,Accipitridae,Accipitriformes,290.2,5174215.21,-12.54,1
Accipiter toussenelii,Accipitridae,Accipitriformes,249.29,4598131.33,3.51,1
Accipiter trinotatus,Accipitridae,Accipitriformes,146,120238.86,-1.81,1
Accipiter trivirgatus,Accipitridae,Accipitriformes,265.04,3366430.69,13.91,1
Accipiter virgatus,Accipitridae,Accipitriformes,116.99,4398429.71,22.08,2
Aegypius monachus,Accipitridae,Accipitriformes,9320.55,7718571.19,41.63,1
Aquila adalberti,Accipitridae,Accipitriformes,2958.03,131221.76,39.06,2
Aquila africana,Accipitridae,Accipitriformes,1047,1918245.9,1.97,2
Aquila audax,Accipitridae,Accipitriformes,3449.86,7679648.03,-25.74,2
Aquila chrysaetos,Accipitridae,Accipitriformes,4247.97,39450257.98,50.67,2
Aquila fasciata,Accipitridae,Accipitriformes,1936.49,5630034.84,27.52,2
Aquila gurneyi,Accipitridae,Accipitriformes,3059.99,601810.35,-5.05,1
Aquila heliaca,Accipitridae,Accipitriformes,3125.21,9556213.62,49.87,3
Aquila nipalensis,Accipitridae,Accipitriformes,2714.33,6933240.92,43.73,3
Aquila rapax,Accipitridae,Accipitriformes,2236.06,17572054.36,3.92,3
Aquila spilogaster,Accipitridae,Accipitriformes,1466.17,12423292.01,-2.84,1
Aquila verreauxii,Accipitridae,Accipitriformes,4195,4020161.71,-9.59,1
Aviceda cuculoides,Accipitridae,Accipitriformes,277,10593852.38,-3.74,1
Aviceda jerdoni,Accipitridae,Accipitriformes,363,1592906.95,6.17,1
Aviceda leuphotes,Accipitridae,Accipitriformes,193.98,3528791.57,23.21,3
Aviceda madagascariensis,Accipitridae,Accipitriformes,277,340717.9,-18.1,1
