species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Abeillia abeillei,Trochilidae,Caprimulgiformes,2.7,144610.4,1839,6.6579,Emerald-chinned hummingbird,111.45,65
Abroscopus albogularis,Scotocercidae,Passeriformes,4.84,1704650.6,1854,6.6335,Rufous-faced warbler,73.99,41
Abroscopus schisticeps,Scotocercidae,Passeriformes,4.7,909217.05,1847,7.0201,Black-faced warbler,69.08,39
Abroscopus superciliaris,Scotocercidae,Passeriformes,6.48,2493437.47,1859,6.0374,Yellow-bellied warbler,165.32,40
Aburria aburri,Cracidae,Galliformes,1405.08,139314.36,1828,5.5705,Wattled guan,108.58,62
Acanthagenys rufogularis,Meliphagidae,Passeriformes,47.8,5976565.2,1838,5.334,Spiny-cheeked honeyeater,169.31,42
Acanthidops bairdi,Thraupidae,Passeriformes,16.0,4743.28,1882,5.4055,Peg-billed finch,41.09,51
Acanthisitta chloris,Acanthisittidae,Passeriformes,6.91,152503.84,1787,6.9331,Rifleman (bird),915.93,62
Acanthiza apicalis,Acanthizidae,Passeriformes,7.62,4124270.8,1847,5.2592,Inland thornbill,96.83,30
Acanthiza chrysorrhoa,Acanthizidae,Passeriformes,9.29,4590956.34,1830,5.3852,Yellow-rumped thornbill,207.23,34
Acanthiza cinerea,Acanthizidae,Passeriformes,7.6,124509.89,1876,4.3673,Grey thornbill,25.9,26
Acanthiza ewingii,Acanthizidae,Passeriformes,6.9,68050.51,1844,5.6632,Tasmanian thornbill,83.45,28
Acanthiza inornata,Acanthizidae,Passeriformes,7.0,137406.16,1841,5.4047,Western thornbill,48.3,23
Acanthiza iredalei,Acanthizidae,Passeriformes,6.04,987131.55,1911,5.1384,Slender-billed thornbill,41.87,25
Acanthiza katherina,Acanthizidae,Passeriformes,7.2,58196.09,1905,4.7683,Mountain thornbill,52.53,28
Acanthiza lineata,Acanthizidae,Passeriformes,6.85,1043817.35,1838,5.769,Striated thornbill,108.42,27
Acanthiza murina,Acanthizidae,Passeriformes,8.4,83142.29,1897,4.7966,New Guinea thornbill,26.94,26
Acanthiza nana,Acanthizidae,Passeriformes,6.19,2021416.13,1827,6.098,Yellow thornbill,96.38,28
Acanthiza pusilla,Acanthizidae,Passeriformes,7.62,1131818.69,1790,5.7709,Brown thornbill,367.07,34
Acanthiza reguloides,Acanthizidae,Passeriformes,7.7,1843422.3,1827,5.729,Buff-rumped thornbill,63.72,27
