species,matched_name,authorship,year,source,fetched
Accipiter albogularis,Accipiter albogularis,"G.R.Gray, 1870",1870,gbif,2026-09-05
Accipiter badius,Accipiter badius,"(Gmelin, 1788)",1788,gbif,2026-09-05
Accipiter bicolor,Accipiter bicolor,"(Vieillot, 1817)",1817,gbif,2026-09-05
Accipiter brachyurus,Accipiter brachyurus,"(E.P.Ramsay, 1880)",1880,gbif,2026-09-05
Accipiter brevipes,Accipiter brevipes,"(Severtzov, 1850)",1850,gbif,2026-09-05
Accipiter butleri,Accipiter butleri,"(Gurney & Jr., 1898)",1898,gbif,2026-09-05
Accipiter castanilius,Accipiter castanilius,"Bonaparte, 1853",1853,gbif,2026-09-05
Accipiter cirrocephalus,Accipiter cirrocephalus,"(Vieillot, 1817)",1817,gbif,2026-09-05
Accipiter collaris,Accipiter collaris,"P.L.Sclater, 1860",1860,gbif,2026-09-05
Accipiter cooperii,Accipiter cooperii,"(Bonaparte, 1828)",1828,gbif,2026-09-05
Accipiter erythrauchen,Accipiter erythrauchen,"G.R.Gray, 1861",1861,gbif,2026-09-05
Accipiter erythropus,Accipiter erythropus,"(Hartlaub, 1855)",1855,gbif,2026-09-05
Accipiter fasciatus,Accipiter fasciatus,"(Vigors & Horsfield, 1827)",1827,gbif,2026-09-05
Accipiter francesiae,Accipiter francesiae,"A.Smith, 1834",1834,gbif,2026-09-05
Accipiter gentilis,Accipiter gentilis,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Accipiter griseiceps,Accipiter griseiceps,"(Kaup, 1848)",1848,gbif,2026-09-05
Accipiter gularis,Accipiter gularis,"(Temminck & Schlegel, 1844)",1844,gbif,2026-09-05
Accipiter gundlachi,Accipiter gundlachi,"Lawrence, 1860",1860,gbif,2026-09-05
Accipiter haplochrous,Accipiter haplochrous,"P.L.Sclater, 1859",1859,gbif,2026-09-05
Accipiter henicogrammus,Accipiter henicogrammus,"(G.R.Gray, 1861)",1861,gbif,2026-09-05
Accipiter henstii,Accipiter henstii,"(Schlegel, 1873)",1873,gbif,2026-09-05
Accipiter hiogaster,Accipiter hiogaster,"(S.Muller, 1841)",1841,gbif,2026-09-05
Accipiter imitator,Accipiter imitator,"Hartert, 1926",1926,gbif,2026-09-05
Accipiter luteoschistaceus,Accipiter luteoschistaceus,"Rothschild & Hartert, 1926",1926,gbif,2026-09-05
Accipiter madagascariensis,Accipiter madagascariensis,"J.Verreaux, 1833",1833,gbif,2026-09-05
Accipiter melanochlamys,Accipiter melanochlamys,"(Salvadori, 1876)",1876,gbif,2026-09-05
Accipiter melanoleucus,Accipiter melanoleucus,"A.Smith, 1830",1830,gbif,2026-09-05
Accipiter meyerianus,Accipiter meyerianus,"(Sharpe, 1878)",1878,gbif,2026-09-05
Accipiter minullus,Accipiter minullus,"(Daudin, 1800)",1800,gbif,2026-09-05
Accipiter nanus,Accipiter nanus,"(W.Blasius, 1897)",1897,gbif,2026-09-05
Accipiter nisus,Accipiter nisus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Accipiter novaehollandiae,Accipiter novaehollandiae,"(Gmelin, 1788)",1788,gbif,2026-09-05
Accipiter ovampensis,Accipiter ovampensis,"Gurney, 1875",1875,gbif,2026-09-05
Accipiter poliocephalus,Accipiter poliocephalus,"G.R.Gray, 1858",1858,gbif,2026-09-05
Accipiter poliogaster,Accipiter poliogaster,"(Temminck, 1824)",1824,gbif,2026-09-05
Accipiter princeps,Accipiter princeps,"Mayr, 1934",1934,gbif,2026-09-05
