group,section,described,evaluated,pct_evaluated,threatened,pct_threatened_low,pct_threatened_best,pct_threatened_high,source
Mammals,Vertebrates,6854,6054,88.0,1372,23,26,36,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Birds,Vertebrates,11185,11185,100.0,1256,11,11,12,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Reptiles,Vertebrates,12568,10371,83.0,1865,18,21,33,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Amphibians,Vertebrates,9075,8095,89.0,2940,36,41,48,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Fishes,Vertebrates,37630,29371,78.0,4168,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Insects,Invertebrates,1008355,14531,1.4,2815,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Molluscs,Invertebrates,89129,9957,11.0,2671,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Crustaceans,Invertebrates,83805,3410,4.0,806,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Corals,Invertebrates,5695,916,16.0,333,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Arachnids,Invertebrates,98006,1057,1.08,392,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Velvet Worms,Invertebrates,220,11,5.0,9,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Horseshoe Crabs,Invertebrates,4,4,100.0,2,50,100,100,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Others,Invertebrates,171981,1153,0.67,196,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Mosses,Plants,19539,327,1.7,181,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Ferns and Allies,Plants,11800,839,7.0,329,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Gymnosperms,Plants,1113,1061,95.0,453,43,43,44,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Flowering Plants,Plants,369000,76102,21.0,29290,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Green Algae,Plants,14739,18,0.1,0,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Red Algae,Plants,7812,78,1.0,9,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
"Mushrooms, etc.",Fungi,157648,1351,0.9,412,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
Brown Algae,Fungi,5104,18,0.4,6,,,,"IUCN Red List 2026-1 Table 1a (last updated 09 July 2026), https://nc.iucnredlist.org/redlist/content/attachment_files/2026-1_RL_Table1a.pdf"
