species,family,mass_bin,year_decade
Aburria aburri,Cracidae,3.0,1820
Acanthiza cinerea,Acanthizidae,0.5,1870
Acanthiza robustirostris,Acanthizidae,0.5,1900
Acanthornis magna,Acanthizidae,1.0,1850
Accipiter brevipes,Accipitridae,2.0,1850
Accipiter castanilius,Accipitridae,2.0,1850
Accipiter cooperii,Accipitridae,2.5,1820
Accipiter erythropus,Accipitridae,2.0,1850
Accipiter fasciatus,Accipitridae,2.5,1820
Accipiter francesiae,Accipitridae,2.0,1830
Accipiter griseiceps,Accipitridae,2.0,1840
Accipiter melanoleucus,Accipitridae,2.5,1830
Accipiter meyerianus,Accipitridae,2.5,1870
Accipiter nanus,Accipitridae,2.0,1890
Accipiter novaehollandiae,Accipitridae,2.5,1780
Accipiter poliocephalus,Accipitridae,2.0,1850
Accipiter rufitorques,Accipitridae,2.0,1840
Accipiter rufiventris,Accipitridae,2.0,1830
Accipiter soloensis,Accipitridae,2.0,1820
Accipiter trinotatus,Accipitridae,2.0,1850
Accipiter trivirgatus,Accipitridae,2.0,1820
Acrocephalus atyphus,Acrocephalidae,1.0,1910
Acrocephalus gracilirostris,Acrocephalidae,1.0,1860
Acrocephalus newtoni,Acrocephalidae,1.0,1860
Acrocephalus orinus,Acrocephalidae,1.0,1900
Acrocephalus palustris,Acrocephalidae,1.0,1790
Acrocephalus percernis,Acrocephalidae,1.0,1910
Acrocephalus rodericanus,Acrocephalidae,1.0,1860
Acrocephalus rufescens,Acrocephalidae,1.0,1870
Aethia pygmaea,Alcidae,2.0,1780
Aethopyga magnifica,Nectariniidae,0.5,1870
Agapornis swindernianus,Psittacidae,1.5,1820
Agelasticus xanthophthalmus,Icteridae,1.5,1960
Agraphospiza rubescens,Fringillidae,1.0,1870
Aix galericulata,Anatidae,2.5,1750
Aix sponsa,Anatidae,2.5,1750
Alauda gulgula,Alaudidae,1.0,1830
Alaudala somalica,Alaudidae,1.0,1890
Alca torda,Alcidae,2.5,1750
Alcedo quadribrachys,Alcedinidae,1.5,1850
Alcedo semitorquata,Alcedinidae,1.5,1820
Alectoris magna,Phasianidae,2.5,1870
Alectoris philbyi,Phasianidae,2.5,1930
