species,works_2015_2024,cost_usd,fetched
Accipiter albogularis,26,0.0010,2026-09-06
Accipiter badius,95,0.0010,2026-09-06
Accipiter bicolor,83,0.0010,2026-09-06
Accipiter brachyurus,34,0.0010,2026-09-06
Accipiter brevipes,104,0.0010,2026-09-06
Accipiter butleri,28,0.0010,2026-09-06
Accipiter castanilius,28,0.0010,2026-09-06
Accipiter cirrocephalus,45,0.0010,2026-09-06
Accipiter collaris,44,0.0010,2026-09-06
Accipiter cooperii,224,0.0010,2026-09-06
Accipiter erythrauchen,20,0.0010,2026-09-06
Accipiter erythropus,31,0.0010,2026-09-06
Accipiter fasciatus,58,0.0010,2026-09-06
Accipiter francesiae,26,0.0010,2026-09-06
Accipiter gentilis,587,0.0010,2026-09-06
Accipiter griseiceps,24,0.0010,2026-09-06
Accipiter gularis,67,0.0010,2026-09-06
Accipiter gundlachi,28,0.0010,2026-09-06
Accipiter haplochrous,24,0.0010,2026-09-06
Accipiter henicogrammus,20,0.0010,2026-09-06
Accipiter henstii,29,0.0010,2026-09-06
Accipiter hiogaster,27,0.0010,2026-09-06
Accipiter imitator,29,0.0010,2026-09-06
Accipiter luteoschistaceus,25,0.0010,2026-09-06
Accipiter madagascariensis,21,0.0010,2026-09-06
Accipiter melanochlamys,30,0.0010,2026-09-06
Accipiter melanoleucus,67,0.0010,2026-09-06
Accipiter meyerianus,19,0.0010,2026-09-06
Accipiter minullus,26,0.0010,2026-09-06
Accipiter nanus,38,0.0010,2026-09-06
Accipiter nisus,497,0.0010,2026-09-06
Accipiter novaehollandiae,48,0.0010,2026-09-06
Accipiter ovampensis,25,0.0010,2026-09-06
Accipiter poliocephalus,24,0.0010,2026-09-06
Accipiter poliogaster,58,0.0010,2026-09-06
Accipiter princeps,26,0.0010,2026-09-06
Accipiter rhodogaster,23,0.0010,2026-09-06
Accipiter rufitorques,28,0.0010,2026-09-06
Accipiter rufiventris,39,0.0010,2026-09-06
Accipiter soloensis,71,0.0010,2026-09-06
Accipiter striatus,197,0.0010,2026-09-06
Accipiter superciliosus,58,0.0010,2026-09-06
Accipiter sylvestris,15,0.0010,2026-09-06
Accipiter tachiro,41,0.0010,2026-09-06
Accipiter toussenelii,20,0.0010,2026-09-06
Accipiter trinotatus,24,0.0010,2026-09-06
Accipiter trivirgatus,69,0.0010,2026-09-06
Accipiter virgatus,74,0.0010,2026-09-06
Aegypius monachus,400,0.0010,2026-09-06
Aquila adalberti,163,0.0010,2026-09-06
Aquila africana,18,0.0010,2026-09-06
Aquila audax,75,0.0010,2026-09-06
Aquila chrysaetos,1190,0.0010,2026-09-06
Aquila fasciata,227,0.0010,2026-09-06
Aquila gurneyi,13,0.0010,2026-09-06
Aquila heliaca,325,0.0010,2026-09-06
Aquila nipalensis,285,0.0010,2026-09-06
Aquila rapax,71,0.0010,2026-09-06
Aquila spilogaster,25,0.0010,2026-09-06
Aquila verreauxii,37,0.0010,2026-09-06
Aviceda cuculoides,15,0.0010,2026-09-06
Aviceda jerdoni,18,0.0010,2026-09-06
Aviceda leuphotes,38,0.0010,2026-09-06
Aviceda madagascariensis,7,0.0010,2026-09-06
Aviceda subcristata,30,0.0010,2026-09-06
Busarellus nigricollis,50,0.0010,2026-09-06
Butastur indicus,66,0.0010,2026-09-06
Butastur liventer,14,0.0010,2026-09-06
Butastur rufipennis,20,0.0010,2026-09-06
Butastur teesa,23,0.0010,2026-09-06
Buteo albigula,62,0.0010,2026-09-06
Buteo albonotatus,84,0.0010,2026-09-06
Buteo augur,24,0.0010,2026-09-06
Buteo auguralis,13,0.0010,2026-09-06
Buteo brachypterus,10,0.0010,2026-09-06
Buteo brachyurus,68,0.0010,2026-09-06
Buteo buteo,591,0.0010,2026-09-06
Buteo galapagoensis,26,0.0010,2026-09-06
