species,field_id,works,cost_usd,fetched
Acanthiza katherina,23,18,0.0001,2026-09-09
Acanthiza katherina,11,5,0.0000,2026-09-09
Acanthiza katherina,13,2,0.0000,2026-09-09
Acanthiza katherina,17,2,0.0000,2026-09-09
Acanthiza katherina,33,1,0.0000,2026-09-09
Accipiter butleri,23,24,0.0001,2026-09-09
Accipiter butleri,13,2,0.0000,2026-09-09
Accipiter butleri,19,1,0.0000,2026-09-09
Accipiter butleri,22,1,0.0000,2026-09-09
Accipiter gundlachi,23,25,0.0001,2026-09-09
Accipiter gundlachi,22,2,0.0000,2026-09-09
Accipiter gundlachi,13,1,0.0000,2026-09-09
Accipiter gundlachi,19,1,0.0000,2026-09-09
Accipiter haplochrous,23,18,0.0001,2026-09-09
Accipiter haplochrous,13,2,0.0000,2026-09-09
Accipiter haplochrous,19,2,0.0000,2026-09-09
Accipiter haplochrous,11,1,0.0000,2026-09-09
Accipiter haplochrous,22,1,0.0000,2026-09-09
Accipiter henicogrammus,23,19,0.0001,2026-09-09
Accipiter henicogrammus,13,1,0.0000,2026-09-09
Accipiter henstii,23,19,0.0001,2026-09-09
Accipiter henstii,13,4,0.0000,2026-09-09
Accipiter henstii,19,2,0.0000,2026-09-09
Accipiter henstii,32,2,0.0000,2026-09-09
Accipiter henstii,11,1,0.0000,2026-09-09
Accipiter henstii,22,1,0.0000,2026-09-09
Accipiter imitator,23,22,0.0001,2026-09-09
Accipiter imitator,13,2,0.0000,2026-09-09
Accipiter imitator,22,2,0.0000,2026-09-09
Accipiter imitator,11,1,0.0000,2026-09-09
Accipiter imitator,17,1,0.0000,2026-09-09
Accipiter imitator,19,1,0.0000,2026-09-09
Accipiter madagascariensis,23,17,0.0001,2026-09-09
Accipiter madagascariensis,11,2,0.0000,2026-09-09
Accipiter madagascariensis,13,1,0.0000,2026-09-09
Accipiter madagascariensis,22,1,0.0000,2026-09-09
Accipiter poliogaster,23,32,0.0001,2026-09-09
Accipiter poliogaster,22,14,0.0000,2026-09-09
Accipiter poliogaster,13,11,0.0000,2026-09-09
Accipiter poliogaster,25,1,0.0000,2026-09-09
Aceros nipalensis,23,56,0.0001,2026-09-09
Aceros nipalensis,22,10,0.0000,2026-09-09
Aceros nipalensis,16,4,0.0000,2026-09-09
Aceros nipalensis,19,4,0.0000,2026-09-09
Aceros nipalensis,13,3,0.0000,2026-09-09
Aceros nipalensis,11,2,0.0000,2026-09-09
Acridotheres cinereus,23,49,0.0001,2026-09-09
Acridotheres cinereus,22,5,0.0000,2026-09-09
Acridotheres cinereus,11,3,0.0000,2026-09-09
Acridotheres cinereus,13,1,0.0000,2026-09-09
