species,article,months,views_total,views_mean_monthly
Accipiter albogularis,Pied goshawk,120,16185,134.88
Accipiter badius,,0,,
Accipiter bicolor,Bicolored hawk,120,35931,299.43
Accipiter brachyurus,New Britain sparrowhawk,120,14944,124.53
Accipiter brevipes,Levant sparrowhawk,120,77446,645.38
Accipiter butleri,Nicobar sparrowhawk,120,19684,164.03
Accipiter castanilius,Chestnut-flanked sparrowhawk,120,34842,290.35
Accipiter cirrocephalus,Collared sparrowhawk,120,60198,501.65
Accipiter collaris,Semicollared hawk,120,13252,110.43
Accipiter cooperii,Cooper's hawk,120,1866795,15556.62
Accipiter erythrauchen,Rufous-necked sparrowhawk,120,11028,91.90
Accipiter erythropus,Red-thighed sparrowhawk,120,20188,168.23
Accipiter fasciatus,Brown goshawk,120,102255,852.12
Accipiter francesiae,Frances's sparrowhawk,120,21505,179.21
Accipiter gentilis,Eurasian goshawk,30,352918,11763.93
Accipiter griseiceps,Sulawesi goshawk,120,20325,169.38
Accipiter gularis,Japanese sparrowhawk,120,80580,671.50
Accipiter gundlachi,Gundlach's hawk,120,19687,164.06
Accipiter haplochrous,White-bellied goshawk,120,17438,145.32
Accipiter henicogrammus,Moluccan goshawk,120,11935,99.46
Accipiter henstii,Henst's goshawk,120,23404,195.03
Accipiter hiogaster,Variable goshawk,120,10525,87.71
Accipiter imitator,Imitator goshawk,120,13749,114.58
Accipiter luteoschistaceus,Slaty-mantled goshawk,120,9795,81.62
Accipiter madagascariensis,Madagascar sparrowhawk,120,11213,93.44
Accipiter melanochlamys,Black-mantled goshawk,120,14069,117.24
Accipiter melanoleucus,Black sparrowhawk,120,72801,606.67
Accipiter meyerianus,Meyer's goshawk,120,17540,146.17
Accipiter minullus,Little sparrowhawk,120,54720,456.00
Accipiter nanus,Dwarf sparrowhawk,120,14654,122.12
Accipiter nisus,Eurasian sparrowhawk,120,1353885,11282.38
Accipiter novaehollandiae,Grey goshawk,120,101531,846.09
Accipiter ovampensis,Ovambo sparrowhawk,120,17877,148.97
Accipiter poliocephalus,Grey-headed goshawk,120,13123,109.36
Accipiter poliogaster,Grey-bellied hawk,120,16321,136.01
Accipiter princeps,New Britain goshawk,120,23812,198.43
Accipiter rhodogaster,Vinous-breasted sparrowhawk,120,12471,103.92
Accipiter rufitorques,Fiji goshawk,120,26559,221.32
Accipiter rufiventris,Rufous-breasted sparrowhawk,120,17975,149.79
Accipiter soloensis,Chinese sparrowhawk,120,59872,498.93
Accipiter striatus,Sharp-shinned hawk,120,930630,7755.25
Accipiter superciliosus,Tiny hawk,120,58650,488.75
Accipiter sylvestris,Lesser Sundas goshawk,120,3141,26.18
Accipiter tachiro,African goshawk,120,74139,617.83
Accipiter toussenelii,African goshawk,120,74139,617.83
Accipiter trinotatus,Spot-tailed sparrowhawk,120,17303,144.19
Accipiter trivirgatus,Crested goshawk,120,115598,963.32
Accipiter virgatus,,0,,
Aegypius monachus,Cinereous vulture,120,661499,5512.49
Aquila adalberti,Spanish imperial eagle,120,242076,2017.30
Aquila africana,Cassin's hawk-eagle,120,42195,351.62
Aquila audax,Wedge-tailed eagle,120,1545483,12879.02
Aquila chrysaetos,Golden eagle,120,6448907,53740.89
Aquila fasciata,Bonelli's eagle,120,363780,3031.50
Aquila gurneyi,Gurney's eagle,120,40169,334.74
Aquila heliaca,Eastern imperial eagle,120,561308,4677.57
Aquila nipalensis,Steppe eagle,120,457936,3816.13
Aquila rapax,Tawny eagle,120,286724,2389.37
Aquila spilogaster,African hawk-eagle,120,140915,1174.29
Aquila verreauxii,Verreaux's eagle,120,274909,2290.91
Aviceda cuculoides,African cuckoo-hawk,120,35670,297.25
Aviceda jerdoni,Jerdon's baza,120,48259,402.16
Aviceda leuphotes,Black baza,120,74266,618.88
Aviceda madagascariensis,Madagascar cuckoo-hawk,120,12253,102.11
Aviceda subcristata,Pacific baza,120,71924,599.37
Busarellus nigricollis,Black-collared hawk,120,36591,304.93
Butastur indicus,Grey-faced buzzard,120,43337,361.14
Butastur liventer,Rufous-winged buzzard,120,19773,164.78
Butastur rufipennis,Grasshopper buzzard,120,25287,210.72
Butastur teesa,White-eyed buzzard,120,51891,432.43
Buteo albigula,White-throated hawk,120,24147,201.22
Buteo albonotatus,Zone-tailed hawk,120,153868,1282.23
Buteo augur,Augur buzzard,120,171823,1431.86
Buteo auguralis,Red-necked buzzard,120,33638,280.32
Buteo brachypterus,Madagascar buzzard,120,30577,254.81
Buteo brachyurus,Short-tailed hawk,120,97177,809.81
Buteo buteo,Common buzzard,120,2082532,17354.43
Buteo galapagoensis,Galapagos hawk,120,93745,781.21
Buteo hemilasius,Upland buzzard,120,65650,547.08
Buteo jamaicensis,Red-tailed hawk,120,3586570,29888.08
Buteo japonicus,Eastern buzzard,120,68244,568.70
Buteo lagopus,Rough-legged buzzard,120,278412,2320.10
Buteo lineatus,Red-shouldered hawk,120,1195657,9963.81
Buteo nitidus,Gray-lined hawk,120,23856,198.80
Buteo oreophilus,Mountain buzzard,120,35837,298.64
Buteo plagiatus,Gray hawk,120,166080,1384.00
Buteo platypterus,Broad-winged hawk,120,673814,5615.12
Buteo refectus,Himalayan buzzard,120,22478,187.32
Buteo regalis,Ferruginous hawk,120,568511,4737.59
Buteo ridgwayi,Ridgway's hawk,120,45001,375.01
Buteo rufinus,Long-legged buzzard,120,164083,1367.36
Buteo rufofuscus,Jackal buzzard,120,82690,689.08
Buteo socotraensis,Socotra buzzard,120,14915,124.29
Buteo solitarius,Hawaiian hawk,120,182996,1524.97
Buteo swainsoni,Swainson's hawk,120,489035,4075.29
Buteo trizonatus,Forest buzzard,120,29851,248.76
Buteo ventralis,Rufous-tailed hawk,120,28390,236.58
Buteogallus aequinoctialis,Rufous crab hawk,120,16914,140.95
Buteogallus anthracinus,Common black hawk,120,256546,2137.88
Buteogallus coronatus,Chaco eagle,119,64239,539.82
Buteogallus gundlachii,Cuban black hawk,120,23361,194.68
Buteogallus lacernulatus,White-necked hawk,120,19440,162.00
Buteogallus meridionalis,Savanna hawk,120,44855,373.79
Buteogallus schistaceus,Slate-colored hawk,120,13944,116.20
Buteogallus solitarius,Solitary eagle,120,86847,723.73
Buteogallus urubitinga,Great black hawk,120,103814,865.12
Chelictinia riocourii,Scissor-tailed kite,120,65058,542.15
Chondrohierax uncinatus,Hook-billed kite,120,54530,454.42
Chondrohierax wilsonii,Cuban kite,120,30928,257.73
Circaetus beaudouini,Beaudouin's snake eagle,120,25776,214.80
Circaetus cinerascens,Western banded snake eagle,120,24429,203.57
Circaetus cinereus,Brown snake eagle,120,166866,1390.55
Circaetus fasciolatus,Southern banded snake eagle,120,17355,144.62
Circaetus gallicus,Short-toed snake eagle,120,203250,1693.75
Circaetus pectoralis,Black-chested snake eagle,120,78261,652.17
Circus aeruginosus,Western marsh harrier,120,253374,2111.45
Circus approximans,Swamp harrier,120,196688,1639.07
Circus assimilis,Spotted harrier,120,31221,260.18
Circus buffoni,Long-winged harrier,120,27059,225.49
Circus cinereus,Cinereous harrier,120,29977,249.81
Circus cyaneus,Hen harrier,120,483782,4031.52
Circus hudsonius,Northern harrier,120,650553,5421.27
Circus macrosceles,Malagasy harrier,120,13214,110.12
Circus macrourus,Pallid harrier,120,143214,1193.45
Circus maillardi,Réunion harrier,120,23272,193.93
Circus maurus,Black harrier,120,32408,270.07
Circus melanoleucos,Pied harrier,120,44623,371.86
Circus pygargus,Montagu's harrier,120,196518,1637.65
Circus ranivorus,African marsh harrier,120,32711,272.59
Circus spilonotus,Eastern marsh harrier,120,50349,419.57
Circus spilothorax,Papuan harrier,120,12616,105.13
Clanga clanga,Greater spotted eagle,120,270589,2254.91
Clanga hastata,Indian spotted eagle,120,198184,1651.53
Clanga pomarina,Lesser spotted eagle,120,170262,1418.85
Cryptoleucopteryx plumbea,Plumbeous hawk,120,12136,101.13
Dryotriorchis spectabilis,Congo serpent eagle,120,29949,249.57
Elanoides forficatus,Swallow-tailed kite,120,636534,5304.45
Elanus axillaris,Black-shouldered kite,120,251588,2096.57
Elanus caeruleus,Black-winged kite,120,360863,3007.19
Elanus leucurus,White-tailed kite,120,354140,2951.17
Elanus scriptus,Letter-winged kite,120,122950,1024.58
Erythrotriorchis buergersi,Chestnut-shouldered goshawk,120,12948,107.90
Erythrotriorchis radiatus,Red goshawk,120,50408,420.07
Eutriorchis astur,Madagascar serpent eagle,120,32016,266.80
Gampsonyx swainsonii,Pearl kite,120,55110,459.25
Geranoaetus albicaudatus,White-tailed hawk,120,141412,1178.43
Geranoaetus melanoleucus,Black-chested buzzard-eagle,120,151894,1265.78
Geranoaetus polyosoma,Variable hawk,120,41073,342.27
Geranospiza caerulescens,Crane hawk,120,45408,378.40
Gypaetus barbatus,Bearded vulture,120,2137147,17809.56
Gypohierax angolensis,Palm-nut vulture,120,185246,1543.72
Gyps africanus,White-backed vulture,120,366881,3057.34
Gyps bengalensis,White-rumped vulture,120,332405,2770.04
Gyps coprotheres,Cape vulture,120,166180,1384.83
Gyps fulvus,Eurasian griffon vulture,120,229406,1911.72
Gyps himalayensis,Himalayan vulture,120,374692,3122.43
Gyps indicus,Indian vulture,120,655622,5463.52
Gyps rueppelli,Rüppell's vulture,120,694324,5786.03
Gyps tenuirostris,Slender-billed vulture,120,152930,1274.42
Haliaeetus albicilla,White-tailed eagle,120,1800883,15007.36
Haliaeetus leucocephalus,Bald eagle,120,9036483,75304.02
Haliaeetus leucogaster,White-bellied sea eagle,120,641931,5349.43
Haliaeetus leucoryphus,Pallas's fish eagle,120,132537,1104.47
Haliaeetus pelagicus,Steller's sea eagle,120,1738066,14483.88
Haliaeetus sanfordi,Sanford's sea eagle,120,80227,668.56
Haliaeetus vocifer,African fish eagle,120,701535,5846.12
Haliaeetus vociferoides,Madagascar fish eagle,120,42483,354.02
Haliastur indus,Brahminy kite,120,696949,5807.91
Haliastur sphenurus,Whistling kite,120,141811,1181.76
Hamirostra melanosternon,Black-breasted buzzard,120,93247,777.06
Harpagus bidentatus,Double-toothed kite,120,33955,282.96
Harpagus diodon,Rufous-thighed kite,120,13866,115.55
Harpia harpyja,Harpy eagle,120,5199331,43327.76
Harpyopsis novaeguineae,Papuan eagle,120,285492,2379.10
