name,abbrev,pole_lat,pole_lon,rate_deg_myr,sigma95_deg_myr,rms_mm_yr,area_steradian
Amur,am,63.17,-122.82,0.297,0.02,28.1,0.1307
Antarctica,an,65.42,-118.11,0.25,0.008,15.2,1.4327
Arabia,ar,48.88,-8.49,0.559,0.016,47.6,0.1208
Australia,au,33.86,37.94,0.632,0.017,63.1,0.9214
Capricorn,cp,44.44,23.09,0.608,0.019,66.2,0.2036
Caribbean,ca,35.2,-92.62,0.286,0.023,14.9,0.073
Cocos,co,26.93,-124.31,1.198,0.045,74.6,0.0722
Eurasia,eu,48.85,-106.5,0.223,0.009,22.8,1.1963
India,in,50.37,-3.29,0.544,0.01,57.6,0.3064
Juan de Fuca,jf,-38.31,60.04,0.951,0.256,17.4,0.0063
Lwandle,lw,51.89,-69.52,0.286,0.026,26.5,0.1171
Macquarie,mq,49.19,11.05,1.144,0.274,49.5,0.0079
Nazca,nz,46.23,-101.06,0.696,0.029,70.0,0.3967
North America,na,-4.85,-80.64,0.209,0.013,19.8,1.3657
Nubia,nb,47.68,-68.44,0.292,0.007,29.2,1.4406
Pacific,pa,-63.58,114.7,0.651,0.011,65.5,2.5768
Philippine Sea,ps,-46.02,-31.36,0.91,0.05,52.6,0.1341
Rivera,ri,20.25,-107.29,4.536,0.63,11.8,0.0025
Sandwich,sw,-29.94,-36.87,1.362,0.744,72.6,0.0045
Scotia,sc,22.52,-106.15,0.146,0.016,16.2,0.0419
Somalia,sm,49.95,-84.52,0.339,0.011,31.0,0.3548
South America,sa,-22.62,-112.83,0.109,0.011,10.6,1.0034
Sunda,su,50.06,-95.02,0.337,0.02,32.2,0.2197
Sur,sr,-32.5,-111.32,0.107,0.028,11.0,0.0271
Yangtze,yz,63.03,-116.62,0.334,0.013,36.5,0.0542
