sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
00NA,-12.466639,130.843988,0.036184,0.058504,0.000234,0.000267,10.4969,AU
01NA,-12.478223,130.982047,0.036048,0.058922,0.000239,0.000266,11.4743,AU
02NA,-12.355923,130.881729,0.036270,0.059634,0.000207,0.000269,8.2738,AU
0ABI,68.354344,18.816444,0.015259,0.014863,0.000155,0.000156,17.1965,EU
0ABN,65.033682,21.332862,0.015350,0.016483,0.000340,0.000320,3.3813,EU
0ABY,58.658908,16.179643,0.018596,0.013831,0.000155,0.000136,11.3676,EU
0AKE,59.481449,18.301951,0.018741,0.013986,0.000113,0.000121,15.9918,EU
0ALE,62.780455,16.013703,0.016873,0.014621,0.000207,0.000205,10.6886,EU
0ALF,61.344518,16.064898,0.016862,0.014699,0.000115,0.000110,20.7502,EU
0ALI,57.929536,12.527833,0.017423,0.014502,0.000132,0.000119,15.5291,EU
0ALM,59.866297,18.070799,0.018339,0.013838,0.000094,0.000093,24.3395,EU
0ALN,65.132101,21.020641,0.016830,0.013618,0.000292,0.000463,3.3813,EU
0ALS,56.946616,15.907185,0.018680,0.014315,0.000165,0.000176,7.8412,EU
0ALV,61.230957,14.037074,0.016373,0.014896,0.000148,0.000140,18.4038,EU
0AMB,60.510247,13.151182,0.016734,0.014991,0.000197,0.000181,11.2882,EU
0AME,58.870272,15.000187,0.017991,0.014293,0.000107,0.000108,17.1006,EU
0AMM,65.958197,16.205719,0.015205,0.015020,0.000136,0.000150,18.5572,EU
0AMS,64.532527,19.3499,0.016960,0.014157,0.000160,0.000150,10.2971,EU
0ANA,62.642586,14.371668,0.015960,0.015368,0.000118,0.000118,18.9596,EU
0ANE,57.834273,14.814634,0.017851,0.014233,0.000162,0.000130,12.6133,
0ANG,62.525367,15.659631,0.016484,0.014701,0.000115,0.000126,18.2094,EU
0ANS,64.275929,21.042974,0.017923,0.014098,0.000160,0.000153,11.3347,EU
