sta,plate,lat,lon,dist_km,residual_mm_yr,kept
1LSU,NA,30.4074,-91.1803,1596.8,0.783,1
1NSU,NA,31.7508,-93.0976,1749.3,1.401,1
1ULM,NA,32.5290,-92.0759,1835.5,0.696,1
34A1,NA,41.8387,-119.6540,433.7,4.917,0
34A4,NA,41.8666,-119.4948,447.2,3.876,0
34NO,NA,41.9291,-119.7086,433.4,4.425,0
34SO,NA,41.8059,-119.7068,428.3,4.737,0
3RIV,NA,46.3148,-72.5761,2741.0,0.856,1
59WE,NA,33.4311,-112.1831,285.4,1.505,0
7OAK,NA,37.5950,-114.7591,430.6,2.400,0
AA01,NA,43.6728,-71.4863,2596.7,0.098,1
AAM1,NA,39.9969,-76.0899,2207.9,0.125,1
AASI,NA,68.7193,-52.7933,1398.8,2.387,0
AB02,NA,52.9706,-168.8547,122.7,5.085,0
AB04,NA,63.6569,-170.5674,973.1,4.162,0
AB06,NA,54.8853,-163.4235,181.2,3.172,0
AB07,NA,55.3493,-160.4768,180.3,7.356,0
AB09,NA,65.6150,-168.0621,1123.8,4.421,0
AB11,NA,64.5645,-165.3735,1176.4,5.437,0
AB14,NA,59.1082,-159.0915,522.6,3.041,0
AB15,NA,61.0398,-159.8784,708.9,5.945,0
AB17,NA,63.8864,-160.6947,938.9,6.007,0
AB18,NA,66.8584,-162.6135,1186.3,5.568,0
AB22,NA,59.8993,-154.6983,448.4,9.599,0
AB25,NA,62.9293,-156.0234,684.0,7.359,0
AB27,NA,67.0559,-156.9049,1006.3,4.727,0
AB28,NA,62.0938,-152.8149,495.6,9.142,0
AB33,NA,67.2510,-150.1725,843.6,5.232,0
AB37,NA,62.9673,-145.4519,321.2,15.854,0
AB39,NA,66.5593,-145.2126,691.6,3.906,0
AB41,NA,64.7773,-141.1581,483.7,2.487,0
AB45,NA,68.7605,-148.8712,971.3,4.478,0
AB46,NA,68.1207,-145.5679,864.6,3.865,0
ABAB,NA,54.3344,-114.7742,1035.7,2.338,0
ABAD,NA,51.2867,-113.9982,969.3,1.541,1
ABAZ,NA,56.4671,-111.1935,1341.5,1.646,1
ABBR,NA,53.2497,-114.9795,980.1,1.147,1
ABBY,NA,49.0721,-122.1978,337.6,7.455,0
ABCA,NA,50.9638,-114.0042,958.8,1.685,1
ABCH,NA,50.0155,-113.5733,963.8,1.417,1
ABCL,NA,53.2648,-113.8048,1055.3,1.239,1
ABCM,NA,51.0886,-115.3629,872.0,1.373,1
ABCN,NA,51.1910,-114.4714,934.7,1.190,1
ABCR,NA,53.0232,-112.8224,1110.3,1.385,1
ABEN,NA,53.5670,-113.6062,1077.5,1.694,1
ABGR,NA,55.2172,-118.7976,860.8,1.297,1
ABHV,NA,50.5823,-113.8738,957.5,1.336,1
ABL1,NA,32.4537,-99.7304,1243.1,0.703,1
ABL2,NA,54.7626,-111.9459,1222.7,1.555,1
ABLR,NA,49.7062,-112.8353,1008.7,1.737,1
ABMD,NA,50.0219,-110.6974,1165.7,1.272,1
ABMN,NA,51.6631,-112.7680,1063.0,1.739,1
ABMO,NA,53.8014,-113.6484,1082.8,2.031,0
ABNA,NA,53.5695,-113.5016,1084.2,1.644,1
ABNC,NA,51.0641,-114.0870,956.2,1.424,1
ABOL,NA,51.7917,-114.1058,980.5,1.384,1
