fdc_id,description,group,cls,kcal,fat_g,sugar_g,carb_g,fibre_g,sodium_mg,fat_pct_kcal,sugar_pct_kcal,carb_pct_kcal,sodium_pct_wt,FS,FSOD,CSOD,HPF
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",Baked Products,prepared,307.0,13.24,5.88,41.18,1.2,1059.0,38.8143,7.6612,44.43,1.059,False,True,True,True
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",Baked Products,prepared,330.0,11.27,21.34,53.42,1.4,780.0,30.7364,25.8667,37.1879,0.78,True,True,False,True
167516,"Waffles, buttermilk, frozen, ready-to-heat",Baked Products,prepared,273.0,9.22,4.3,41.05,2.2,621.0,30.3956,6.3004,50.6227,0.621,False,True,True,True
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",Baked Products,prepared,309.0,9.49,4.41,48.39,2.6,710.0,27.6408,5.7087,53.5663,0.71,False,True,True,True
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",Baked Products,prepared,289.0,9.4,4.5,44.16,2.4,663.0,29.2734,6.2284,51.5709,0.663,False,True,True,True
167519,"Waffle, plain, frozen, ready-to-heat, microwave",Baked Products,prepared,298.0,9.91,5.04,45.41,2.4,682.0,29.9295,6.7651,50.9664,0.682,False,True,True,True
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",Baked Products,prepared,501.0,24.83,18.13,64.3,1.9,471.0,44.6048,14.475,35.3453,0.471,False,True,False,True
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",Baked Products,prepared,484.0,22.42,26.31,64.48,2.7,503.0,41.6901,21.7438,29.314,0.503,True,True,False,True
167522,"Pie, Dutch Apple, Commercially Prepared",Baked Products,prepared,290.0,11.5,22.02,44.54,1.6,200.0,35.6897,30.3724,28.8552,0.2,True,False,False,True
167524,"Waffles, chocolate chip, frozen, ready-to-heat",Baked Products,prepared,297.0,10.1,13.1,45.68,1.5,529.0,30.6061,17.6431,41.8586,0.529,False,True,True,True
