common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
Human,Homo sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,62000,70,122.5,no,A,Wild = pre-industrial adult expectancy at age 15; captive = verified record
Chimpanzee,Pan troglodytes,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,45000,53,63,no,A,
Bonobo,Pan paniscus,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,39000,40,55,no,B,
Western gorilla,Gorilla gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,160000,40,60,no,A,
Bornean orangutan,Pongo pygmaeus,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,55000,45,59,no,A,
Siamang,Symphalangus syndactylus,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Symphalangus,11000,30,44,no,B,
Lar gibbon,Hylobates lar,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,5500,25,44,no,B,
Rhesus macaque,Macaca mulatta,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,8000,30,40,no,A,
Japanese macaque,Macaca fuscata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,11000,28,33,no,B,
Olive baboon,Papio anubis,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,24000,25,45,no,B,
Mandrill,Mandrillus sphinx,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,25000,20,46,no,B,
Vervet monkey,Chlorocebus pygerythrus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,4500,16,31,no,B,
Common marmoset,Callithrix jacchus,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,320,12,22,no,A,
Capuchin monkey,Sapajus apella,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,3000,25,50,no,B,
Squirrel monkey,Saimiri sciureus,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,800,15,30,no,B,
Ring-tailed lemur,Lemur catta,Animalia,Chordata,Mammalia,Primates,Lemuridae,Lemur,2200,16,33,no,B,
Grey mouse lemur,Microcebus murinus,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,60,8,18,no,A,
Aye-aye,Daubentonia madagascariensis,Animalia,Chordata,Mammalia,Primates,Daubentoniidae,Daubentonia,2500,20,23,no,B,
Slow loris,Nycticebus coucang,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,650,15,26,no,B,
Brandt's bat,Myotis brandtii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7,41,41,no,A,Highest mass-adjusted lifespan of any mammal
Little brown bat,Myotis lucifugus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,8,34,30,no,A,
