common_name,scientific_name,kingdom,phylum,class,order,family,genus,mass_g,wild_yr,captive_yr,colonial,quality,note
Chinese false gudgeon,Abbottina rivularis,Animalia,Chordata,Actinopterygii,Cypriniformes,Gobionidae,Abbottina,79.0843,2,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Bream,Abramis brama,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Abramis,3305.5,23,,no,B,
Small-eyed sculpin,Abyssocottus korotneffi,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Cottidae,Abyssocottus,25,12,,no,C,
Roughhead blenny,Acanthemblemaria aspera,Animalia,Chordata,Actinopterygii,Blenniiformes,Chaenopsidae,Acanthemblemaria,0.294054,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Spinyhead blenny,Acanthemblemaria spinosa,Animalia,Chordata,Actinopterygii,Blenniiformes,Chaenopsidae,Acanthemblemaria,0.167327,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Tigris bream,Acanthobrama marmid,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Acanthobrama,226.432,4,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Acanthobrama thisbeae,Acanthobrama thisbeae,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Acanthobrama,203.89,8,,no,C,
Urmia Lake chub,Acanthobrama urmianus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Acanthobrama,40,7,,no,C,
Taumaka,Acanthoclinus fuscus,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,Acanthoclinus,179.41,9,,no,B,
Acanthoclinus littoreus,Acanthoclinus littoreus,Animalia,Chordata,Actinopterygii,Ovalentaria/misc,Plesiopidae,Acanthoclinus,50.8397,9,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Wahoo,Acanthocybium solandri,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Acanthocybium,83000,9.3,,no,C,
Acanthogobius hasta,Acanthogobius hasta,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Acanthogobius,400,1,,no,C,
Pighead prickleback,Acantholumpenus mackayi,Animalia,Chordata,Actinopterygii,Perciformes/Zoarcoidei,Lumpenidae,Acantholumpenus,1097.85,12,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Arabian yellowfin seabream,Acanthopagrus arabicus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Acanthopagrus,1589.75,14,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Surf bream,Acanthopagrus australis,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,2475,12,,no,B,
Goldsilk seabream,Acanthopagrus berda,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Acanthopagrus,3200,14,,no,C,
Twobar seabream,Acanthopagrus bifasciatus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Acanthopagrus,1494.3,21.3,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Southern black bream,Acanthopagrus butcheri,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,2200,29,,no,B,
Yellowfin seabream,Acanthopagrus latus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Acanthopagrus,1700,14,,no,C,
Blackhead seabream,Acanthopagrus schlegelii,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Acanthopagrus,3200,28,,no,C,
Scale-eye plaice,Acanthopsetta nadeshnyi,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Acanthopsetta,1200,17,,no,C,
Orange-socket surgeonfish,Acanthurus auranticavus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,3174.96,30,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Barber surgeonfish,Acanthurus bahianus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,32.5072,31,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Ringtail surgeonfish,Acanthurus blochii,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,3321.41,35,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Doctorfish,Acanthurus chirurgus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,5100,13,,no,C,
Blue tang surgeonfish,Acanthurus coeruleus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,1299.1,37,,no,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
