rank,group,n_species,n_colonial,geomean_lq_class,median_lifespan_yr,min_mass_g,max_mass_g,longest_lived_species,longest_lived_yr
kingdom,Animalia,6342,1,1.0,12.308,5e-07,150000000.0,Black coral,4265.0
phylum,Annelida,3,0,5.7577,27.0,4.0,50.0,Cold-seep tubeworm,250.0
phylum,Echinodermata,2,0,2.9367,105.0,80.0,500.0,Red sea urchin,200.0
phylum,Rotifera,1,0,1.2564,0.12,5e-07,5e-07,Bdelloid rotifer,0.12
phylum,Mollusca,14,0,1.0205,21.0,15.0,200000.0,Ocean quahog,507.0
phylum,Chordata,6284,0,1.0,12.4,0.198683,150000000.0,Greenland shark,392.0
phylum,Arthropoda,34,0,0.8302,4.0,0.001,5000.0,American lobster,70.0
phylum,Cnidaria,3,1,0.6502,4.0,0.001,5000.0,Black coral,4265.0
phylum,Nematoda,1,0,0.4822,0.055,1e-06,1e-06,Nematode,0.055
class,Polychaeta,1,0,23.4127,250.0,50.0,50.0,Cold-seep tubeworm,250.0
class,Echinoidea,1,0,10.3869,200.0,500.0,500.0,Red sea urchin,200.0
class,Hydrozoa,1,0,5.9807,4.0,0.001,0.001,Hydra,4.0
class,Bivalvia,6,0,4.293,62.0,15.0,200000.0,Ocean quahog,507.0
class,Clitellata,2,0,2.8553,18.5,4.0,5.0,Medicinal leech,27.0
class,Sarcopterygii,1,0,2.7863,100.0,80000.0,80000.0,Coelacanth,100.0
class,Gastropoda,3,0,1.8573,35.0,25.0,700.0,Red abalone,54.0
class,Thecostraca,1,0,1.8271,6.0,0.5,0.5,Acorn barnacle,6.0
class,Arachnida,5,0,1.6002,8.0,0.003,30.0,Desert blonde tarantula,30.0
class,Malacostraca,6,0,1.354,25.0,1.0,5000.0,American lobster,70.0
class,Bdelloidea,1,0,1.2564,0.12,5e-07,5e-07,Bdelloid rotifer,0.12
class,Petromyzontida,14,0,1.1162,8.0,10.1,1375.0,European river lamprey,10.0
class,Actinopterygii,762,0,1.0266,10.0,0.198683,550000.0,Rougheye rockfish,205.0
class,Reptilia,908,0,1.0,14.9,0.3,450000.0,Aldabra giant tortoise,190.0
class,Mammalia,2552,0,1.0,10.0,2.33,150000000.0,Bowhead whale,211.0
class,Aves,1873,0,1.0,14.0,1.9,120000.0,Little Spotted Kiwi,83.0
class,Merostomata,1,0,0.8698,20.0,1000.0,1000.0,Atlantic horseshoe crab,20.0
class,Asteroidea,1,0,0.8303,10.0,80.0,80.0,Common starfish,10.0
class,Chondrichthyes,90,0,0.787,20.0,110.0,15000000.0,Greenland shark,392.0
class,Insecta,19,0,0.6269,2.0,0.001,3.0,Termite queen,30.0
class,Chromadorea,1,0,0.4822,0.055,1e-06,1e-06,Nematode,0.055
class,Dipnoi,1,0,0.3539,8.3,13563.1,13563.1,South American lungfish,8.3
class,Branchiopoda,2,0,0.3521,0.35,0.001,0.01,Brine shrimp,0.5
class,Cephalopoda,5,0,0.1271,2.0,200.0,15000.0,Chambered nautilus,20.0
class,Scyphozoa,1,0,0.0707,1.0,150.0,150.0,Moon jellyfish,1.0
class,Amphibia,83,0,,14.2,0.6,25000.0,Olm,100.0
class,Anthozoa,1,1,,4265.0,5000.0,5000.0,Black coral,4265.0
order,Venerida,1,0,47.4809,507.0,50.0,50.0,Ocean quahog,507.0
order,Sabellida,1,0,23.4127,250.0,50.0,50.0,Cold-seep tubeworm,250.0
order,Unionida,1,0,15.7761,190.0,80.0,80.0,Freshwater pearl mussel,190.0
order,Camarodonta,1,0,10.3869,200.0,500.0,500.0,Red sea urchin,200.0
order,Rhynchocephalia,1,0,6.2312,100.0,700.0,700.0,Tuatara,100.0
order,Anthoathecata,1,0,5.9807,4.0,0.001,0.001,Hydra,4.0
order,Arhynchobdellida,1,0,4.5596,27.0,5.0,5.0,Medicinal leech,27.0
order,Hemiptera,1,0,3.9075,17.0,1.5,1.5,Periodical cicada,17.0
order,Beryciformes,2,0,3.7628,86.0,1500.0,4000.0,Orange roughy,149.0
order,Ixodida,1,0,3.3857,3.0,0.003,0.003,Deer tick,3.0
order,Zeiformes,3,0,3.1956,100.0,1100.0,4400.0,Spiky oreo,100.0
order,Mytilida,1,0,3.0592,24.0,15.0,15.0,Blue mussel,24.0
order,Coelacanthiformes,1,0,2.7863,100.0,80000.0,80000.0,Coelacanth,100.0
order,Monotremata,4,0,2.6582,41.2,1700.0,8951.71,Short-beaked echidna,50.0
order,Lepetellida,1,0,2.573,54.0,700.0,700.0,Red abalone,54.0
order,Chiroptera,261,0,2.5304,13.0,3.56,1017.37,Brandt's bat,41.0
order,Blattodea,2,0,2.1585,16.0,0.5,1.0,Termite queen,30.0
order,Primates,346,0,2.0557,26.3,60.0,160000.0,Human,122.5
order,Anguilliformes,9,0,1.9853,40.0,412.5,13000.0,European eel,85.0
order,Phoenicopteriformes,5,0,1.848,44.0,1500.0,3043.5,Greater flamingo,83.0
order,Balanomorpha,1,0,1.8271,6.0,0.5,0.5,Acorn barnacle,6.0
order,Squaliformes,8,0,1.8128,47.5,467.5,700000.0,Greenland shark,392.0
order,Crassiclitellata,1,0,1.788,10.0,4.0,4.0,Common earthworm,10.0
order,Acipenseriformes,13,0,1.7848,60.0,27.775,550000.0,Lake sturgeon,152.0
order,Elopiformes,2,0,1.7396,49.5,9900.0,88550.0,Tarpon,55.0
order,Apterygiformes,4,0,1.7047,37.5,1200.0,2600.0,Little Spotted Kiwi,83.0
order,Dermoptera,2,0,1.6899,17.5,1056.1,1250.0,Philippine Flying Lemur,17.5
order,Lepisosteiformes,4,0,1.6844,28.0,1430.0,45000.0,Alligator gar,95.0
order,Testudines,161,0,1.6652,30.7,14.3,250000.0,Aldabra giant tortoise,190.0
order,Amiiformes,1,0,1.598,30.0,5362.5,5362.5,Bowfin,30.0
order,Stylommatophora,2,0,1.5781,22.0,25.0,150.0,Roman snail,35.0
order,Ostreida,1,0,1.5684,20.0,100.0,100.0,Eastern oyster,20.0
order,Pectinida,1,0,1.5551,22.0,150.0,150.0,Great scallop,22.0
order,Araneae,3,0,1.5368,30.0,0.5,25.0,Desert blonde tarantula,30.0
order,Euphausiacea,1,0,1.53,6.0,1.0,1.0,Antarctic krill,6.0
order,Psittaciformes,186,0,1.4702,21.55,24.0,2000.0,Sulphur-crested cockatoo,83.0
order,Hexanchiformes,1,0,1.4696,49.0,58850.0,58850.0,Bluntnose sevengill shark,49.0
order,Pilosa,9,0,1.4431,26.0,251.975,35000.0,Linnaeus's two-toed sloth,41.0
order,Syngnathiformes,1,0,1.425,7.0,20.0,20.0,Big-belly seahorse,7.0
order,Torpediniformes,1,0,1.4133,20.0,1650.0,1650.0,Marbled electric ray,20.0
order,Proboscidea,3,0,1.3824,80.0,3000000.0,4630000.0,Asian elephant,86.0
order,Procellariiformes,75,0,1.3548,30.2,28.0,9000.0,Laysan albatross,74.0
order,Sirenia,4,0,1.3376,54.5,300000.0,500000.0,Dugong,73.0
order,Decapoda,5,0,1.3213,30.0,80.0,5000.0,American lobster,70.0
order,Bucerotiformes,8,0,1.2779,25.55,66.25,4000.0,Abyssinian Ground Hornbill,70.0
order,Ophidiiformes,1,0,1.2751,30.0,13750.0,13750.0,Australian rockling,30.0
order,Apodiformes,33,0,1.2712,10.0,1.9,102.7,Alpine swift,26.0
order,Chimaeriformes,2,0,1.2686,20.7,1375.0,2887.5,Rabbitfish,29.4
order,Philodinida,1,0,1.2564,0.12,5e-07,5e-07,Bdelloid rotifer,0.12
order,Ephemeroptera,1,0,1.2517,2.0,0.03,0.03,Common mayfly,2.0
order,Squatiniformes,1,0,1.1994,35.0,33748.9,33748.9,Pacific angel shark,35.0
order,Scandentia,11,0,1.1961,11.6,42.5,350.0,Golden-bellied Treeshrew,12.4167
order,Charadriiformes,184,0,1.1838,20.1,21.1,1687.0,Herring gull,49.0
order,Crocodilia,22,0,1.1722,48.5,5900.0,450000.0,Nile crocodile,80.0
order,Phaethontiformes,2,0,1.161,25.15,593.2,750.0,Red-tailed tropicbird,32.7
order,Pleuronectiformes,32,0,1.16,18.5,53.28,199650.0,Atlantic halibut,50.0
order,Carnivora,249,0,1.1345,18.2,46.9,2000000.0,Baikal seal,56.0
order,Cardiida,1,0,1.1199,100.0,200000.0,200000.0,Giant clam,100.0
order,Petromyzontiformes,14,0,1.1162,8.0,10.1,1375.0,European river lamprey,10.0
order,Perciformes,370,0,1.1007,12.0,0.441118,200000.0,Rougheye rockfish,205.0
order,Cichliformes,1,0,1.0807,12.0,600.0,600.0,Nile tilapia,12.0
order,Macroscelidea,11,0,1.0639,7.15,40.0,540.0,Golden-rumped elephant shrew,11.0
order,Strigiformes,49,0,1.0569,17.5,41.0,2800.0,Pharaoh Eagle-Owl,68.0
order,Hyracoidea,4,0,1.0342,13.8,2000.0,4000.0,Rock hyrax,15.0
order,Ciconiiformes,18,0,1.0221,30.65,1398.0,9050.0,Oriental white stork,48.1
order,Gadiformes,30,0,1.0124,20.0,48.98,86000.0,Roughscale rattail,73.0
order,Perissodactyla,19,0,1.0103,36.5,148950.0,2300000.0,Horse,62.0
order,Percopsiformes,5,0,0.9873,4.0,3.69178,67.486,Sand roller,6.0
order,Esociformes,5,0,0.9868,9.0,14.91,17490.0,Northern pike,30.0
order,Coleoptera,2,0,0.9784,4.0,0.15,3.0,Stag beetle,6.0
order,Coliiformes,1,0,0.9692,11.5,51.0,51.0,Speckled mousebird,11.5
order,Passeriformes,766,0,0.9668,10.0,5.25,1200.0,Common raven,44.0
order,Pelecaniformes,63,0,0.9665,23.0,101.0,10000.0,American white pelican,54.0
order,Stomiiformes,3,0,0.9593,7.0,0.675148,67.8197,Pacific viperfish,8.0
order,Cingulata,14,0,0.9466,13.75,83.53,33000.0,Southern three-banded armadillo,36.8
order,Gaviiformes,5,0,0.9361,28.0,1816.0,5212.5,Yellow-billed Loon,30.0
order,Eurypygiformes,1,0,0.9315,15.0,210.0,210.0,Sunbittern,15.0
order,Falconiformes,21,0,0.9301,17.0,61.025,1406.5,Guadalupe Caracara,37.6
order,Accipitriformes,93,0,0.9258,22.3,135.0,11000.0,Andean condor,79.0
order,Caprimulgiformes,12,0,0.9256,14.817,48.925,349.0,Tawny frogmouth,17.9
order,Hymenoptera,6,0,0.9248,3.0,0.005,0.6,Black garden ant queen,29.0
order,Cypriniformes,110,0,0.9234,6.0,0.8,36290.0,Bigmouth buffalo,112.0
order,Mugiliformes,4,0,0.903,13.0,522.5,4400.0,Thicklipped mullet,25.0
order,Orectolobiformes,3,0,0.8978,25.0,5142.4,15000000.0,Whale shark,100.0
order,Struthioniformes,2,0,0.8877,56.0,109250.0,120000.0,Ostrich,62.0
order,Squamata,724,0,0.8863,12.2,0.3,245988.0,Peloponnese Slow Worm,54.0
order,Columbiformes,30,0,0.8828,14.0,35.0,519.0,Mourning dove,31.0
order,Siluriformes,25,0,0.8774,7.0,5.59117,50000.0,Wels catfish,60.0
order,Xiphosura,1,0,0.8698,20.0,1000.0,1000.0,Atlantic horseshoe crab,20.0
order,Rajiformes,15,0,0.8617,17.0,110.0,115315.0,"Blue skate, or Common skate",50.0
order,Clupeiformes,32,0,0.8551,6.5,14.5963,3025.0,Twaite shad,25.0
order,Scorpiones,1,0,0.8539,8.0,30.0,30.0,Emperor scorpion,8.0
order,Rhinobatiformes,1,0,0.8523,16.0,5362.5,5362.5,Shovelnose guitarfish,16.0
order,Scombriformes,1,0,0.8481,40.0,250000.0,250000.0,Atlantic bluefin tuna,40.0
order,Gasterosteiformes,9,0,0.8456,3.0,0.549441,16.14,Alaskan stickleback,8.0
order,Artiodactyla,285,0,0.8438,21.7,2250.0,150000000.0,Bowhead whale,211.0
order,Salmoniformes,34,0,0.8406,12.0,72.7416,38500.0,Lake trout,62.0
order,Sphenisciformes,11,0,0.8405,27.0,1100.0,30000.0,Gentoo penguin,41.0
order,Diprotodontia,113,0,0.8402,13.2,10.0,55000.0,Common wombat,34.0
order,Gonorynchiformes,2,0,0.8353,9.0,3.13436,7700.0,Milkfish,15.0
order,Myctophiformes,4,0,0.832,5.5,3.83184,25.1077,Glacier lanterfish,8.0
order,Forcipulatida,1,0,0.8303,10.0,80.0,80.0,Common starfish,10.0
order,Anseriformes,88,0,0.829,22.05,326.0,13000.0,Greater white-fronted goose,47.0
order,Lophiiformes,4,0,0.8168,22.5,10471.3,31735.0,Goosefish,30.0
order,Nautilida,1,0,0.8133,20.0,1300.0,1300.0,Chambered nautilus,20.0
