name,sci,kingdom,phylum,class,order,family,genus,mass_g,wild,captive,unrecorded,average,maximum,colonial,pred_global,pred_class,lq_global_maximum,lq_class_maximum,quality,note
Glass sponge,Monorhaphis chuni,Animalia,Porifera,Hexactinellida,Amphidiscosida,Monorhaphididae,Monorhaphis,1000.0,11000.0,,,11000.0,11000.0,True,14.0445,22.9944,783.2243,478.3779,C,Spicule growth-ring estimate; the oldest age attributed to any animal
Black coral,Leiopathes glaberrima,Animalia,Cnidaria,Anthozoa,Antipatharia,Leiopathidae,Leiopathes,5000.0,4265.0,,,4265.0,4265.0,True,19.0162,34.7212,224.2821,122.8356,B,Colony age by radiocarbon; individual polyps live far shorter
Ocean quahog,Arctica islandica,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,50.0,507.0,,,507.0,507.0,False,7.9895,10.678,63.4584,47.4809,A,Ming; shell annuli. Longest-lived non-colonial animal
Giant barrel sponge,Xestospongia muta,Animalia,Porifera,Demospongiae,Haplosclerida,Petrosiidae,Xestospongia,30000.0,2300.0,,,2300.0,2300.0,True,26.6473,54.9342,86.3128,41.8683,C,Colony age estimate from growth rates
Black garden ant queen,Lasius niger,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,0.005,15.0,29.0,,22.0,29.0,False,1.4103,1.0099,20.5632,28.7157,A,Laboratory record
Cold-seep tubeworm,Lamellibrachia luymesi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,50.0,250.0,,,250.0,250.0,False,7.9895,10.678,31.2911,23.4127,B,Growth-rate age estimate; among the longest-lived non-colonial invertebrates
Freshwater pearl mussel,Margaritifera margaritifera,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,80.0,190.0,,,190.0,190.0,False,8.7288,12.0436,21.767,15.7761,A,
Rougheye rockfish,Sebastes aleutianus,Animalia,Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes,2500.0,205.0,,,205.0,205.0,False,16.6894,15.6342,12.2833,13.1123,A,Otolith annuli
Boulder star coral,Orbicella faveolata,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,20000.0,600.0,,,600.0,600.0,True,24.6885,49.517,24.3029,12.1171,C,Colony age
Brandt's bat,Myotis brandtii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,7.0,41.0,41.0,,41.0,41.0,False,5.5174,3.4554,7.4311,11.8654,A,Highest mass-adjusted lifespan of any mammal
