scientific_name,taken_from,grade,corroborating_sources,mass_from,origin
Abbottina rivularis,fishbase,C,,fishbase,unrecorded
Abramis brama,anage,B,fishbase,anage,wild
Abyssocottus korotneffi,fishbase,C,,fishbase,wild
Acanthemblemaria aspera,fishbase,C,,fishbase,unrecorded
Acanthemblemaria spinosa,fishbase,C,,fishbase,unrecorded
Acanthobrama marmid,fishbase,C,,fishbase,unrecorded
Acanthobrama thisbeae,fishbase,C,,fishbase,wild
Acanthobrama urmianus,fishbase,C,,fishbase,unrecorded
Acanthoclinus fuscus,anage,B,fishbase,anage,wild
Acanthoclinus littoreus,fishbase,C,,fishbase,wild
Acanthocybium solandri,fishbase,C,,fishbase,unrecorded
Acanthogobius hasta,fishbase,C,,fishbase,wild
Acantholumpenus mackayi,fishbase,C,,fishbase,wild
Acanthopagrus arabicus,fishbase,C,,fishbase,unrecorded
Acanthopagrus australis,anage,B,fishbase,anage,wild
Acanthopagrus berda,fishbase,C,,fishbase,wild
Acanthopagrus bifasciatus,fishbase,C,,fishbase,unrecorded
Acanthopagrus butcheri,anage,B,fishbase,anage,wild
Acanthopagrus latus,fishbase,C,,fishbase,unrecorded
Acanthopagrus schlegelii,fishbase,C,,fishbase,unrecorded
Acanthopsetta nadeshnyi,fishbase,C,,fishbase,wild
Acanthurus auranticavus,fishbase,C,,fishbase,wild
Acanthurus bahianus,fishbase,C,,fishbase,unrecorded
Acanthurus blochii,fishbase,C,,fishbase,wild
Acanthurus chirurgus,fishbase,C,,fishbase,unrecorded
Acanthurus coeruleus,fishbase,C,,fishbase,unrecorded
Acanthurus dussumieri,fishbase,C,,fishbase,wild
Acanthurus lineatus,fishbase,C,,fishbase,wild
Acanthurus mata,fishbase,C,,fishbase,wild
Acanthurus nigricans,fishbase,C,,fishbase,wild
Acanthurus olivaceus,fishbase,C,,fishbase,wild
Acanthurus pyroferus,fishbase,C,,fishbase,wild
Acanthurus tractus,fishbase,C,,fishbase,wild
Acanthurus xanthopterus,fishbase,C,,fishbase,wild
Acentrogobius pflaumii,fishbase,C,,fishbase,unrecorded
Achoerodus gouldii,fishbase,C,,fishbase,wild
Acipenser baerii,fishbase,C,,fishbase,unrecorded
Acipenser brevirostrum,anage,B,fishbase,anage,wild
Acipenser fulvescens,seed,A,anage;fishbase,seed,wild
Acipenser gueldenstaedtii,anage,B,fishbase,anage,wild
Acipenser medirostris,fishbase,C,,fishbase,wild
Acipenser nudiventris,fishbase,C,,fishbase,wild
