archive,neuron_name,neuron_id,species,cell_type,brain_region,doi,protocol,source,whole_brain,axon_dend_ratio,bp_apical,bp_axon,bp_basal,diam_max_um,diam_measured,diam_med_um,diam_min_um,dynamic_range,extent_x_um,extent_y_um,extent_z_um,file,frac_len_modal_diam,frac_len_subres,len_apical_um,len_axon_um,len_basal_um,len_dend_um,len_total_um,max_extent_um,max_radial_um,modal_diam_um,n_distinct_diam,points,soma_diam_um,soma_points,tip_apical,tip_axon,tip_basal
Ascoli,042602-LM-LoDe,5533,rat,interneuron,hippocampus|CA3|stratum lacunosum-moleculare,10.1002/cne.22082,in vitro,ascoli,False,23.796434,0,344,9,2.7,True,0.77,0.13,6016,782.12,575.68,297.56,complete__ascoli__042602-LM-LoDe.swc,0.290996,0.015014,0.0,30849.305,1296.3835,1296.3835,32145.6885,782.12,556.6429,0.77,22,45695,13.574,3,0,345,12
Ascoli,102-LM-HiDe,5528,rat,interneuron,hippocampus|CA3|stratum lacunosum-moleculare,10.1002/cne.22082,in vitro,ascoli,False,6.404199,0,253,32,2.39,True,0.5808,0.138,8484,1170.8,560.9,122.16,complete__ascoli__102-LM-HiDe.swc,0.558783,0.04011,0.0,21550.6763,3365.0855,3365.0855,24915.7618,1170.8,677.4336,0.5808,19,9335,11.064,3,0,254,38
Ascoli,103-SR-LoDe,5529,rat,interneuron,hippocampus|CA3|stratum radiatum,10.1002/cne.22082,in vitro,ascoli,False,9.49221,0,146,9,1.96,True,0.43,0.22,2633,579.3,549.0,170.3,complete__ascoli__103-SR-LoDe.swc,0.36011,0.2523,0.0,12003.8866,1264.604,1264.604,13268.4906,579.3,502.4276,0.43,11,8943,19.166,3,0,147,11
Ascoli,104-SR-HiDe,5530,rat,interneuron,hippocampus|CA3|stratum radiatum,10.1002/cne.22082,in vitro,ascoli,False,9.201522,0,227,18,2.17,True,0.22,0.22,3220,708.3,485.7,111.2,complete__ascoli__104-SR-HiDe.swc,0.6176,0.617908,0.0,15410.8078,1674.8108,1674.8108,17085.6186,708.3,485.2165,0.22,11,11233,13.8,3,0,228,22
Ascoli,118-LM-HiDe,5531,rat,interneuron,hippocampus|CA3|stratum lacunosum-moleculare,10.1002/cne.22082,in vitro,ascoli,False,2.826503,0,106,32,5.0,True,0.43,0.22,5550,1221.0,601.6,192.08,complete__ascoli__118-LM-HiDe.swc,0.439947,0.439947,0.0,13208.3649,4673.0414,4673.0414,17881.4063,1221.0,853.2019,0.22,22,10140,29.4,3,0,107,35
Ascoli,32-SR-HiDe,5522,rat,interneuron,hippocampus|CA3|stratum radiatum,10.1002/cne.22082,in vitro,ascoli,False,11.432534,0,310,39,1.74,True,0.65,0.22,4833,1063.3,672.69,332.0,complete__ascoli__32-SR-HiDe.swc,0.599572,0.024575,0.0,44197.4023,3865.9322,3865.9322,48063.3345,1063.3,837.9981,0.65,10,13090,15.79,2,0,311,40
Ascoli,34-SR-HiDe,5523,rat,interneuron,hippocampus|CA3|stratum radiatum,10.1002/cne.22082,in vitro,ascoli,False,6.921871,0,203,83,3.7,True,0.65,0.22,5693,1252.5,739.7,258.1,complete__ascoli__34-SR-HiDe.swc,0.708372,0.025324,0.0,29337.7111,4238.4076,4238.4076,33576.1187,1252.5,987.8998,0.65,18,10234,16.188,3,0,204,86
Ascoli,49-LM-LoDe,5524,rat,interneuron,hippocampus|CA3|stratum lacunosum-moleculare,10.1002/cne.22082,in vitro,ascoli,False,14.11872,0,356,10,1.74,True,0.43,0.22,3889,855.5,677.5,183.04,complete__ascoli__49-LM-LoDe.swc,0.489513,0.319144,0.0,36343.7484,2574.1532,2574.1532,38917.9016,855.5,484.9412,0.43,9,12172,13.9875,4,0,357,13
Ascoli,69-SR-LoDe,5525,rat,interneuron,hippocampus|CA3|stratum radiatum,10.1002/cne.22082,in vitro,ascoli,False,14.803027,0,223,10,2.18,True,0.43,0.1298,6062,778.4,786.8,255.18,complete__ascoli__69-SR-LoDe.swc,0.300435,0.206281,0.0,24959.5051,1686.1082,1686.1082,26645.6133,786.8,542.5469,0.43,24,12769,12.398,3,0,224,14
Ascoli,700-LM-LoDe,5532,rat,interneuron,hippocampus|CA3|stratum lacunosum-moleculare,10.1002/cne.22082,in vitro,ascoli,False,11.530401,0,149,10,1.59,True,0.58,0.14,3498,489.7,481.5,67.68,complete__ascoli__700-LM-LoDe.swc,0.463197,0.002011,0.0,15110.1634,1310.463,1310.463,16420.6265,489.7,332.4934,0.58,11,6190,13.158,3,0,150,14
