archive,neuron_name,neuron_id,species,source,whole_brain,axon_dend_ratio,bp_apical,bp_axon,bp_basal,dendrite_type,diam_max_um,diam_measured,diam_med_um,diam_min_um,dynamic_range,extent_x_um,extent_y_um,extent_z_um,file,frac_len_modal_diam,frac_len_subres,len_apical_um,len_axon_um,len_basal_um,len_dend_um,len_total_um,max_extent_um,max_radial_um,modal_diam_um,n_distinct_diam,nmo_attributes,nmo_domain,points,soma_diam_um,soma_points,structure,tip_apical,tip_axon,tip_basal
MouseLight,AA0670,121882,mouse,mouselight,True,,0,238,0,,0.25,False,0.25,0.25,31270,7817.42,5387.86,3267.91,mouselight__AA0670.swc,1.0,0.0,0.0,168949.0365,0.0,0.0,168949.0365,7817.42,6291.9567,0.25,1,"No Diameter, 3D, Angles","No Dendrites, Soma, Axon",9631,2.0,3,,0,239,0
MouseLight,AA0923,121685,mouse,mouselight,True,9.77085,0,270,76,,0.25,False,0.25,0.25,42838,4392.12,7393.42,10709.44,mouselight__AA0923.swc,1.0,0.0,0.0,125229.423,12816.6358,12816.6358,138046.0588,10709.44,11331.9271,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",4419,2.0,3,,0,271,88
MouseLight,AA0829,121860,mouse,mouselight,True,6.451213,0,108,57,,0.25,False,0.25,0.25,24151,4987.01,6037.77,3119.72,mouselight__AA0829.swc,1.0,0.0,0.0,39877.4945,6181.3944,6181.3944,46058.8889,6037.77,4422.3394,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2987,2.0,3,,0,109,65
MouseLight,AA0731,121891,mouse,mouselight,True,12.946094,0,40,6,,0.25,False,0.25,0.25,19375,4843.82,3763.5,2531.96,mouselight__AA0731.swc,1.0,0.0,0.0,21795.5748,1683.5638,1683.5638,23479.1385,4843.82,4821.7605,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",666,2.0,3,,0,41,14
MouseLight,AA0863,121679,mouse,mouselight,True,7.405145,0,67,29,,0.25,False,0.25,0.25,19014,2985.91,4753.55,2690.77,mouselight__AA0863.swc,1.0,0.0,0.0,35752.4598,4828.0565,4828.0565,40580.5163,4753.55,4852.908,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1086,2.0,3,,0,68,35
MouseLight,AA0789,121911,mouse,mouselight,True,6.99938,0,330,29,,0.25,False,0.25,0.25,7030,1757.4,1486.98,1178.28,mouselight__AA0789.swc,1.0,0.0,0.0,47190.7511,6742.133,6742.133,53932.8841,1757.4,1549.1814,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",3046,2.0,3,,0,331,38
MouseLight,AA0493,121861,mouse,mouselight,True,5.370266,0,95,64,,0.25,False,0.25,0.25,21242,5310.62,4929.87,1379.3,mouselight__AA0493.swc,1.0,0.0,0.0,41215.2995,7674.7216,7674.7216,48890.0212,5310.62,4484.8684,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1858,2.0,3,,0,96,68
MouseLight,AA0576,121544,mouse,mouselight,True,,0,369,0,,0.25,False,0.25,0.25,45949,5241.11,11487.22,3262.86,mouselight__AA0576.swc,1.0,0.0,0.0,155666.8334,0.0,0.0,155666.8334,11487.22,11263.4086,0.25,1,"No Diameter, 3D, Angles","No Dendrites, Soma, Axon",2610,2.0,3,,0,370,0
MouseLight,AA0587,121680,mouse,mouselight,True,19.108336,0,492,69,,0.25,False,0.25,0.25,39127,9781.76,6976.45,4515.5,mouselight__AA0587.swc,1.0,0.0,0.0,145312.1776,7604.6484,7604.6484,152916.8261,9781.76,10665.5569,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",8072,2.0,3,,0,493,82
MouseLight,AA0329,121884,mouse,mouselight,True,21.941332,0,137,23,,0.25,False,0.25,0.25,23259,2538.2,4291.5,5814.72,mouselight__AA0329.swc,1.0,0.0,0.0,82393.5911,3755.1773,3755.1773,86148.7683,5814.72,5335.9403,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2245,2.0,3,,0,138,30
MouseLight,AA0526,121988,mouse,mouselight,True,13.905894,0,137,28,,0.25,False,0.25,0.25,30821,3582.25,7705.21,5145.43,mouselight__AA0526.swc,1.0,0.0,0.0,56443.9004,4058.9912,4058.9912,60502.8916,7705.21,6675.9128,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",7291,2.0,3,,0,138,35
MouseLight,AA0572,121757,mouse,mouselight,True,1.354778,0,4,12,,0.25,False,0.25,0.25,5084,1270.94,958.9,847.01,mouselight__AA0572.swc,1.0,0.0,0.0,3052.1949,2252.9109,2252.9109,5305.1058,1270.94,1293.4653,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",136,2.0,3,,0,5,14
MouseLight,AA0852,121940,mouse,mouselight,True,7.242648,0,76,65,,0.25,False,0.25,0.25,20634,5158.56,3078.39,4971.64,mouselight__AA0852.swc,1.0,0.0,0.0,57572.5556,7949.1029,7949.1029,65521.6584,5158.56,5235.3262,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2075,2.0,3,,0,77,71
MouseLight,AA0887,121617,mouse,mouselight,True,17.455163,0,213,52,,0.25,False,0.25,0.25,27042,5421.82,5244.56,6760.47,mouselight__AA0887.swc,1.0,0.0,0.0,148711.8441,8519.6478,8519.6478,157231.4919,6760.47,6251.4786,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",5881,2.0,3,,0,214,59
MouseLight,AA0365,121586,mouse,mouselight,True,12.782188,0,368,107,,0.25,False,0.25,0.25,21078,4828.39,3997.37,5269.43,mouselight__AA0365.swc,1.0,0.0,0.0,157155.0862,12294.8499,12294.8499,169449.9361,5269.43,4271.2727,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",5207,2.0,3,,0,369,112
MouseLight,AA0579,121569,mouse,mouselight,True,5.848307,0,130,63,,0.25,False,0.25,0.25,17278,4234.86,3602.83,4319.62,mouselight__AA0579.swc,1.0,0.0,0.0,53722.0189,9185.9094,9185.9094,62907.9283,4319.62,4690.3501,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1285,2.0,3,,0,131,73
MouseLight,AA0669,121714,mouse,mouselight,True,5.375101,0,213,47,,0.25,False,0.25,0.25,9175,2191.31,1785.7,2293.64,mouselight__AA0669.swc,1.0,0.0,0.0,36464.2817,6783.9253,6783.9253,43248.207,2293.64,2561.1039,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2314,2.0,3,,0,214,52
MouseLight,AA0513,121673,mouse,mouselight,True,12.773491,0,200,15,,0.25,False,0.25,0.25,21829,3784.28,5457.3,3952.05,mouselight__AA0513.swc,1.0,0.0,0.0,67665.9237,5297.3714,5297.3714,72963.2951,5457.3,4238.4981,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1571,2.0,3,,0,201,19
MouseLight,AA0380,121899,mouse,mouselight,True,8.549247,0,85,23,,0.25,False,0.25,0.25,18954,4055.96,4738.48,1813.07,mouselight__AA0380.swc,1.0,0.0,0.0,46642.8117,5455.7799,5455.7799,52098.5916,4738.48,5326.5695,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",5806,2.0,3,,0,86,29
MouseLight,AA0366,121577,mouse,mouselight,True,7.228803,0,278,132,,0.25,False,0.25,0.25,20739,3904.59,4377.25,5184.72,mouselight__AA0366.swc,1.0,0.0,0.0,112973.6399,15628.2631,15628.2631,128601.9029,5184.72,5217.4902,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",4504,2.0,3,,0,279,137
MouseLight,AA0437,121553,mouse,mouselight,True,3.640981,0,26,12,,0.25,False,0.25,0.25,10774,1972.14,2693.48,1702.0,mouselight__AA0437.swc,1.0,0.0,0.0,14360.0882,3944.016,3944.016,18304.1042,2693.48,2667.8304,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",599,2.0,3,,0,27,14
MouseLight,AA0640,121733,mouse,mouselight,True,16.28602,0,122,17,,0.25,False,0.25,0.25,20177,2579.73,5044.16,1950.73,mouselight__AA0640.swc,1.0,0.0,0.0,53035.2349,3256.4884,3256.4884,56291.7233,5044.16,4557.9313,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",8450,2.0,3,,0,123,26
MouseLight,AA0388,121672,mouse,mouselight,True,5.516881,0,345,44,,0.25,False,0.25,0.25,4649,1039.42,1162.19,1136.55,mouselight__AA0388.swc,1.0,0.0,0.0,39661.4972,7189.1158,7189.1158,46850.613,1162.19,1319.3461,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",6059,2.0,3,,0,346,50
MouseLight,AA0319,121749,mouse,mouselight,True,53.460954,0,354,20,,0.25,False,0.25,0.25,35097,8774.27,6257.51,4650.71,mouselight__AA0319.swc,1.0,0.0,0.0,294471.4428,5508.1591,5508.1591,299979.6019,8774.27,6942.8042,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",5976,2.0,3,,0,355,24
MouseLight,AA0382,121993,mouse,mouselight,True,12.842707,0,214,29,,0.25,False,0.25,0.25,28127,7031.68,4478.03,5245.36,mouselight__AA0382.swc,1.0,0.0,0.0,57685.5298,4491.6957,4491.6957,62177.2255,7031.68,7092.5873,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",8150,2.0,3,,0,215,37
MouseLight,AA0321,121584,mouse,mouselight,True,10.174996,0,176,63,,0.25,False,0.25,0.25,15838,3268.91,3959.51,3423.77,mouselight__AA0321.swc,1.0,0.0,0.0,66814.6083,6566.5487,6566.5487,73381.157,3959.51,4419.3525,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1819,2.0,3,,0,177,67
MouseLight,AA0840,121629,mouse,mouselight,True,32.856885,0,313,52,,0.25,False,0.25,0.25,31695,5506.58,5293.89,7923.77,mouselight__AA0840.swc,1.0,0.0,0.0,246918.3755,7514.966,7514.966,254433.3416,7923.77,7190.4418,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",4136,2.0,3,,0,314,62
MouseLight,AA0490,121841,mouse,mouselight,True,7.046411,0,190,54,,0.25,False,0.25,0.25,22290,5572.45,5132.66,2712.63,mouselight__AA0490.swc,1.0,0.0,0.0,59804.7767,8487.2674,8487.2674,68292.0441,5572.45,4671.4586,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2907,2.0,3,,0,191,59
MouseLight,AA0737,121927,mouse,mouselight,True,16.223786,0,101,28,,0.25,False,0.25,0.25,17160,3263.57,4290.02,2731.95,mouselight__AA0737.swc,1.0,0.0,0.0,62536.2077,3854.6002,3854.6002,66390.8079,4290.02,4153.0875,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",3948,2.0,3,,0,102,33
MouseLight,AA0530,121604,mouse,mouselight,True,12.537989,0,125,20,,0.25,False,0.25,0.25,15778,3264.1,3451.75,3944.55,mouselight__AA0530.swc,1.0,0.0,0.0,38209.4506,3047.4943,3047.4943,41256.945,3944.55,4539.4109,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1368,2.0,3,,0,126,28
MouseLight,AA0854,121915,mouse,mouselight,True,10.066038,0,48,25,,0.25,False,0.25,0.25,19650,2213.92,4912.38,3593.52,mouselight__AA0854.swc,1.0,0.0,0.0,43865.0085,4357.7234,4357.7234,48222.7318,4912.38,5191.3668,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1316,2.0,3,,0,49,35
MouseLight,AA0649,121732,mouse,mouselight,True,14.50212,0,65,22,,0.25,False,0.25,0.25,21442,3618.46,5360.57,1987.66,mouselight__AA0649.swc,1.0,0.0,0.0,58599.2213,4040.7348,4040.7348,62639.9562,5360.57,4570.7896,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1390,2.0,3,,0,66,27
MouseLight,AA0820,121856,mouse,mouselight,True,3.860676,0,59,70,,0.25,False,0.25,0.25,16841,4021.48,2328.33,4210.21,mouselight__AA0820.swc,1.0,0.0,0.0,24425.4226,6326.7214,6326.7214,30752.1441,4210.21,5203.3852,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1860,2.0,3,,0,60,75
MouseLight,AA0913,121913,mouse,mouselight,True,3.659327,0,116,26,,0.25,False,0.25,0.25,6193,823.58,1548.24,936.09,mouselight__AA0913.swc,1.0,0.0,0.0,19855.7741,5426.0719,5426.0719,25281.846,1548.24,1137.2382,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",1103,2.0,3,,0,117,33
MouseLight,AA0811,121829,mouse,mouselight,True,10.974278,0,188,22,,0.25,False,0.25,0.25,19265,4816.33,4703.89,1915.08,mouselight__AA0811.swc,1.0,0.0,0.0,55809.7694,5085.507,5085.507,60895.2764,4816.33,4873.1429,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",2032,2.0,3,,0,189,25
MouseLight,AA0347,121568,mouse,mouselight,True,11.410719,0,348,72,,0.25,False,0.25,0.25,17547,2830.32,2153.23,4386.76,mouselight__AA0347.swc,1.0,0.0,0.0,119088.753,10436.5688,10436.5688,129525.3218,4386.76,4382.2956,0.25,1,"No Diameter, 3D, Angles","Dendrites, Soma, Axon",4988,2.0,3,,0,349,81
