hour,price_usd_mwh,charge_mw,discharge_mw,soc_mwh
0,28.32,0.0,0.0,2.0
1,16.68,1.0,0.0,2.0
2,29.85,0.0,0.0,2.9274
3,31.55,0.0,0.7253,2.9274
4,11.88,1.0,0.0,2.1453
5,16.14,1.0,0.0,3.0726
6,29.46,0.0,0.0,4.0
7,27.59,0.0,0.0,4.0
8,32.18,0.0,0.86,4.0
9,23.86,1.0,0.0,3.0726
10,41.29,0.0,1.0,4.0
11,36.52,0.0,1.0,2.9217
12,26.42,1.0,0.0,1.8433
13,37.97,0.0,1.0,2.7707
14,32.58,0.0,0.0,1.6924
15,23.3,1.0,0.0,1.6924
16,40.59,0.0,1.0,2.6197
17,27.8,1.0,0.0,1.5414
18,54.72,0.0,1.0,2.4688
19,38.94,0.0,1.0,1.3904
20,35.26,0.0,0.1494,0.3121
21,27.66,1.0,0.0,0.151
22,50.5,0.0,1.0,1.0783
23,29.77,0.0,0.0,0.0
24,21.91,1.0,0.0,0.0
25,21.22,1.0,0.0,0.9274
26,27.66,0.0,0.0,1.8547
27,25.8,1.0,0.0,1.8547
28,27.17,0.0,0.0,2.7821
29,29.6,0.0,0.0,2.7821
30,59.61,0.0,1.0,2.7821
31,26.74,0.8017,0.0,1.7038
32,27.06,0.0,0.0,2.4472
33,24.19,1.0,0.0,2.4472
34,37.65,0.0,1.0,3.3746
35,41.3,0.0,1.0,2.2962
36,24.81,1.0,0.0,1.2179
37,19.07,1.0,0.0,2.1453
38,20.73,1.0,0.0,3.0726
39,39.53,0.0,0.5694,4.0
40,46.28,0.0,1.0,3.3859
41,47.02,0.0,1.0,2.3076
42,31.88,1.0,0.0,1.2293
43,42.98,0.0,1.0,2.1567
44,39.18,0.0,0.0,1.0783
45,37.9,0.0,0.0,1.0783
46,44.66,0.0,1.0,1.0783
47,33.98,0.0,0.0,0.0
48,32.28,0.0,0.0,0.0
49,24.58,0.6389,0.0,0.0
50,25.4,0.0,0.0,0.5925
51,28.31,0.0,0.0,0.5925
52,14.12,1.0,0.0,0.5925
53,22.76,1.0,0.0,1.5198
54,23.89,1.0,0.0,2.4472
55,24.65,0.0,0.0,3.3746
56,29.4,0.0,0.0,3.3746
57,54.27,0.0,1.0,3.3746
58,22.42,1.0,0.0,2.2962
59,39.04,0.0,1.0,3.2236
60,14.33,1.0,0.0,2.1453
61,22.76,1.0,0.0,3.0726
62,29.29,0.0,0.0,4.0
63,38.65,0.0,0.7094,4.0
64,45.76,0.0,1.0,3.235
65,51.33,0.0,1.0,2.1567
66,35.61,0.0,0.0,1.0783
67,33.71,0.0,0.0,1.0783
68,50.79,0.0,1.0,1.0783
69,32.84,0.0,0.0,0.0
70,21.06,1.0,0.0,0.0
71,21.13,1.0,0.0,0.9274
72,18.45,1.0,0.0,1.8547
73,28.57,0.0,0.0,2.7821
74,24.13,0.3133,0.0,2.7821
75,28.9,0.0,0.0,3.0726
76,20.25,1.0,0.0,3.0726
77,26.91,0.0,0.0,4.0
78,35.06,0.0,1.0,4.0
79,27.66,0.0,0.0,2.9217
80,37.98,0.0,1.0,2.9217
81,25.51,0.0,0.0,1.8433
82,26.73,0.0,0.0,1.8433
83,24.34,0.3256,0.0,1.8433
84,16.99,1.0,0.0,2.1453
85,30.35,0.0,0.0,3.0726
86,23.47,1.0,0.0,3.0726
87,31.62,0.0,0.0,4.0
88,42.22,0.0,1.0,4.0
89,45.46,0.0,1.0,2.9217
90,50.79,0.0,1.0,1.8433
91,38.28,0.0,0.7094,0.765
92,32.43,0.0,0.0,0.0
93,34.14,0.0,0.0,0.0
94,18.24,1.0,0.0,0.0
95,18.93,1.0,0.0,0.9274
96,16.02,1.0,0.0,1.8547
97,16.93,1.0,0.0,2.7821
98,26.4,0.0,1.0,3.7094
99,16.53,1.0,0.0,2.6311
100,20.6,0.4761,0.0,3.5585
101,40.11,0.0,1.0,4.0
102,24.87,0.0,0.0,2.9217
103,-9.52,1.0,0.0,2.9217
104,23.35,0.1628,0.0,3.849
105,29.93,0.0,0.86,4.0
106,21.77,1.0,0.0,3.0726
107,24.7,0.0,0.0,4.0
108,34.65,0.0,1.0,4.0
109,13.98,1.0,0.0,2.9217
110,32.21,0.0,0.0,3.849
111,34.21,0.0,0.72,3.849
112,28.98,0.0,0.0,3.0726
113,23.44,1.0,0.0,3.0726
114,41.27,0.0,1.0,4.0
115,32.92,0.0,0.0,2.9217
116,40.8,0.0,1.0,2.9217
117,35.38,0.0,0.7094,1.8433
118,57.67,0.0,1.0,1.0783
119,28.9,0.0,0.0,0.0
120,17.79,1.0,0.0,0.0
121,25.56,0.0,0.0,0.9274
